cnit           ; lib_mrq_doss             ; lib_mod_doss             ; energ; hybride; typ_boite_nb_rapp; puiss_admin; puiss_max; masse_ordma_min; masse_ordma_max; conso_mixte; co2_mixte
M10MCDVPPU0B233; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1840;            1840;         2.3;      53.0
M10MCDVPPU0Y220; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1840;            1840;         2.1;      49.0
M10MCDVPPU0Z221; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1840;            1840;         2.3;      53.0
M10MCDVPPW8L136; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.1;      48.0
M10MCDVPPW8M137; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.3;      52.0
M10MCDVPPW8N138; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.1;      48.0
M10MCDVPPW8P139; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.3;      52.0
M10MCDVPPW8P140; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.4;      54.0
M10MCDVPPW8R141; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.1;      48.0
M10MCDVPPW8R142; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.3;      52.0
M10MCDVPPW8S143; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.1;      48.0
M10MCDVPPW8T144; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.3;      52.0
M10MCDVPPW8U145; MERCEDES BENZ            ; CLASSE C                 ; EE   ; oui    ; A 7              ;          10;     155.0;            1780;            1780;         2.4;      54.0
M10MCDVPGY40938; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY41939; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.5;     127.0
M10MCDVPGY42940; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY43941; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY44942; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY45943; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY46944; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY47945; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY47970; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY48946; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.5;     127.0
M10MCDVPGY48971; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY49947; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY49972; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4A948; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4A973; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4B949; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4B974; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4C950; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4C975; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4D951; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4D976; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4E952; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4E977; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.8;     135.0
M10MCDVPGY4F953; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4F978; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4G954; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4G979; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4H955; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4H980; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4J921; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY4J956; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4J957; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4J981; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4J982; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4K922; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4K958; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.5;     127.0
M10MCDVPGY4K983; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4L923; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4L959; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4L984; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.8;     135.0
M10MCDVPGY4M924; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY4M960; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4M985; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4N925; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4N961; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4N986; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4P926; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4P927; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.5;     127.0
M10MCDVPGY4P962; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4P963; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4P987; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4P988; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4R928; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.0;     116.0
M10MCDVPGY4R929; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4R964; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4R965; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.8;     135.0
M10MCDVPGY4R989; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4R990; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4S930; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4S966; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.4;     126.0
M10MCDVPGY4S991; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4T931; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4T967; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4T992; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4U932; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4U968; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4U993; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4V933; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
M10MCDVPGY4V969; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4V994; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.5;     127.0
M10MCDVPGY4W934; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.3;     122.0
M10MCDVPGY4W995; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; A 7              ;           8;     115.0;            1425;            1425;         5.6;     131.0
M10MCDVPGY4X935; MERCEDES BENZ            ; CLASSE C                 ; ES   ; non    ; M 6              ;           8;     115.0;            1395;            1395;         5.1;     118.0
